County,Neighbor
Adams,7
Alamosa,-3
Arapahoe,10
Archuleta,-8
Baca,-33
Bent,-14
Boulder,27
Broomfield,11
Chaffee,1
Cheyenne,-36
Clear Creek,4
Conejos,0
Costilla,15
Crowley,-22
Custer,-18
Delta,-19
Denver,30
Dolores,-25
Douglas,-4
Eagle,13
Elbert,-24
El Paso,-5
Fremont,-19
Garfield,0
Gilpin,3
Grand,-1
Gunnison,13
Hinsdale,-7
Huerfano,0
Jackson,-26
Jefferson,7
Kiowa,-37
Kit Carson,-31
Lake,8
La Plata,7
Larimer,5
Las Animas,-4
Lincoln,-29
Logan,-26
Mesa,-14
Mineral,-5
Moffat,-31
Montezuma,-11
Montrose,-18
Morgan,-19
Otero,-9
Ouray,9
Park,-8
Phillips,-28
Pitkin,26
Prowers,-21
Pueblo,1
Rio Blanco,-32
Rio Grande,-7
Routt,12
Saguache,6
San Juan,10
San Miguel,26
Sedgwick,-26
Summit,17
Teller,-17
Washington,-35
Weld,-7
Yuma,-32
