County,White
Adams,0.85
Alamosa,0.86
Arapahoe,0.75
Archuleta,0.9
Baca,0.92
Bent,0.85
Boulder,0.89
Broomfield,0.87
Chaffee,0.93
Cheyenne,0.93
Clear Creek,0.93
Conejos,0.89
Costilla,0.85
Crowley,0.82
Custer,0.94
Delta,0.94
Denver,0.8
Dolores,0.92
Douglas,0.88
Eagle,0.93
El Paso,0.82
Elbert,0.94
Fremont,0.91
Garfield,0.93
Gilpin,0.92
Grand,0.94
Gunnison,0.93
Hinsdale,0.93
Huerfano,0.88
Jackson,0.94
Jefferson,0.91
Kiowa,0.95
Kit Carson,0.94
La Plata,0.88
Lake,0.92
Larimer,0.92
Las Animas,0.89
Lincoln,0.89
Logan,0.91
Mesa,0.93
Mineral,0.96
Moffat,0.94
Montezuma,0.81
Montrose,0.94
Morgan,0.9
Otero,0.9
Ouray,0.95
Park,0.93
Phillips,0.95
Pitkin,0.94
Prowers,0.93
Pueblo,0.89
Rio Blanco,0.93
Rio Grande,0.91
Routt,0.95
Saguache,0.9
San Juan,0.94
San Miguel,0.94
Sedgwick,0.93
Summit,0.94
Teller,0.93
Washington,0.95
Weld,0.92
Yuma,0.96
